Time sum_kwh count_users
24813 587.453 982
24815 704.299 982
24817 984.026 982
24819 1302.81 982
24821 1436.562 982
24823 1538.826 982
24825 1616.892 982
24827 1537.239 982
24829 1444.473 982
24831 1407.376 982
24833 1440.669 982
24835 1614.262 982
24837 1619.391 982
24839 1582.758 982
24841 1610.093 982
24843 1635.6 982
24845 1392.724 982
24847 1151.13 982
24901 860.604 982
24903 730.654 982
24905 621.75 982
24907 567.253 982
24909 529.105 982
24911 541.614 982
24913 579.103 982
24915 682.994 982
24917 877.942 982
24919 1089.381 982
24921 1342.522 982
24923 1469.036 982
24925 1669.377 982
24927 1680.151 982
24929 1502.348 982
24931 1410.753 982
24933 1389.84 982
24935 1522.235 982
24937 1598.928 982
24939 1585.986 982
24941 1750.306 982
24943 1623.937 982
24945 1405.955 982
24947 1133.441 982
25001 833.414 982
25003 692.572 982
25005 606.144 982
25007 560.598 982
25009 520.864 982
25011 547.023 982
25013 663.616 982
25015 1022.33 982
25017 1235.282 982
25019 1345.576 982
25021 1461.839 982
25023 1464.833 982
25025 1461.121 982
25027 1423.983 982
25029 1463.492 982
25031 1460.584 982
25033 1695.666 982
25035 1864.911 982
25037 1754.865 982
25039 1643.921 982
25041 1769.123 982
25043 1748.551 982
25045 1432.354 982
25047 1083.267 982
25101 785.732 982
25103 670.919 982
25105 615.716 982
25107 562.452 982
25109 524.555 982
25111 576.199 982
25113 721.978 982
25115 1088.333 982
25117 1281.125 982
25119 1408.007 982
25121 1502.096 982
25123 1526.858 982
25125 1540.533 982
25127 1457.36 982
25129 1477.925 982
25131 1505.118 982
25133 1631.637 982
25135 1775.024 982
25137 1684.253 982
25139 1526.8220000000001 982
25141 1715.191 982
25143 1760.675 982
25145 1447.593 982
25147 1065.311 982
25201 755.595 981
25203 602.143 981
25205 535.0600000000001 981
25207 518.361 981
25209 518.219 981
25211 544.108 981
25213 696.319 981
25215 1095.414 981
25217 1357.531 981
25219 1490.665 981
25221 1537.206 981
25223 1525.462 981
25225 1480.016 981
25227 1473.065 981
25229 1440.882 981
25231 1377.946 981
25233 1493.115 981
25235 1696.954 981
25237 1649.106 981
25239 1455.997 981
25241 1780.969 981
25243 1767.379 981
25245 1474.0 981
25247 1122.982 981
25301 816.027 981
25303 670.831 981
25305 599.098 981
25307 565.37 981
25309 509.027 981
25311 558.4879999999999 981
25313 692.926 981
25315 1071.414 981
25317 1310.153 981
25319 1383.592 981
