Time sum_kwh count_users mean_kwh Date Hour
43103 6312.29 6206 1.0171269738962294 431 1
43105 5399.9439999999995 6206 0.8701166612955203 431 2
43107 4909.275 6206 0.7910530132130196 431 3
43109 4644.993 6206 0.7484680953915567 431 4
43111 4615.021 6206 0.7436385755720271 431 5
43113 4841.364 6206 0.7801102159200772 431 6
43115 5446.012 6206 0.8775398001933612 431 7
43117 6697.329 6206 1.0791699967773123 431 8
43119 8413.384 6206 1.3556854656783757 431 9
43121 9803.246 6206 1.5796400257815015 431 10
43123 10387.993 6206 1.6738628746374478 431 11
43125 11175.625 6206 1.8007774734128263 431 12
43127 10835.722 6206 1.7460074121817595 431 13
43129 9806.324 6206 1.5801359974218498 431 14
43131 9333.416000000001 6206 1.5039342571704803 431 15
43133 9673.535 6206 1.5587391234289396 431 16
43135 10599.491 6206 1.70794247502417 431 17
43137 12380.696 6206 1.9949558491782147 431 18
43139 13251.626 6206 2.1352926200451177 431 19
43141 12612.732 6206 2.032344827586207 431 20
43143 11763.151 6206 1.895448114727683 431 21
43145 10051.589 6206 1.6196566226232678 431 22
43147 8705.404 6206 1.4027399291008702 431 23
43201 6880.576 6206 1.1086973896229455 432 0
43203 5672.826 6206 0.9140873348372542 432 1
43205 5025.276 6206 0.8097447631324525 432 2
43207 4794.818 6206 0.7726100547856913 432 3
43209 4635.4400000000005 6206 0.7469287786013536 432 4
43211 4740.768 6206 0.763900741218176 432 5
43213 5762.657 6206 0.9285621978730261 432 6
43215 8235.129 6206 1.326962455688044 432 7
43217 9793.616 6206 1.5780883016435707 432 8
43219 10881.834 6206 1.753437640992588 432 9
43221 11299.672999999999 6206 1.8207658717370285 432 10
43223 11250.827000000001 6206 1.8128951015146635 432 11
43225 11456.748 6206 1.8460760554302287 432 12
43227 10892.836 6206 1.7552104415082177 432 13
43229 10443.613 6206 1.6828251691911054 432 14
43231 10841.849 6206 1.7469946825652594 432 15
43233 12042.581999999999 6206 1.9404740573638413 432 16
43235 13207.027 6206 2.1281061875604252 432 17
43237 13615.144 6206 2.193867869803416 432 18
43239 14534.339 6206 2.3419817918143733 432 19
