mean_kwh day hour prediction date holiday
1.4492012578616351 439 23 1.4859903319368355 2010-03-16 False
1.0917336237495967 440 0 1.1292747784045123 2010-03-17 False
0.8943894804775735 440 1 0.9238491539081388 2010-03-17 False
0.7988589867699257 440 2 0.8345821112006447 2010-03-17 False
0.7560395288802839 440 3 0.793607574536664 2010-03-17 False
0.7318738302678284 440 4 0.763896212731668 2010-03-17 False
0.7612942884801549 440 5 0.7937136180499598 2010-03-17 False
0.9188305905130688 440 6 0.9759021756647864 2010-03-17 False
1.3135193610842206 440 7 1.3932778404512491 2010-03-17 False
1.551624878993224 440 8 1.6207853344077356 2010-03-17 False
1.6919548241368183 440 9 1.7779592264302984 2010-03-17 False
1.7757029686995809 440 10 1.8167234488315875 2010-03-17 False
1.7707549209422393 440 11 1.7857286059629331 2010-03-17 False
1.829232494353017 440 12 1.8410881547139408 2010-03-17 False
1.7641671506937724 440 13 1.726734085414988 2010-03-17 False
1.7582094223943208 440 14 1.686159548751007 2010-03-17 False
1.8495830913197808 440 15 1.7466931506849317 2010-03-17 False
1.9986781219748304 440 16 1.9148992747784048 2010-03-17 False
2.0856010003226846 440 17 2.071384528605963 2010-03-17 False
2.141356566634398 440 18 2.148620789685737 2010-03-17 False
2.194885608260729 440 19 2.2955476228847704 2010-03-17 False
2.050512100677638 440 20 2.190604029008864 2010-03-17 False
1.88900758309132 440 21 2.0266800966962126 2010-03-17 False
1.6454446595676024 440 22 1.681811120064464 2010-03-17 False
1.4953094546627943 440 23 1.4404559226430296 2010-03-17 False
1.1749067441110037 441 0 1.084441991621012 2010-03-18 False
0.9425866408518876 441 1 0.8946282629713181 2010-03-18 False
0.8133956114875767 441 2 0.8008736706413149 2010-03-18 False
0.7491834462729914 441 3 0.7676203673864003 2010-03-18 False
0.7158564052920298 441 4 0.7521551724137931 2010-03-18 False
0.7169562762181348 441 5 0.7847238156622623 2010-03-18 False
0.7708872216844143 441 6 0.9565733161456657 2010-03-18 False
0.8882663762504034 441 7 1.386016919110538 2010-03-18 False
1.106026137463698 441 8 1.621177570093458 2010-03-18 False
1.4048901258470474 441 9 1.7753646471156943 2010-03-18 False
1.595305098418845 441 10 1.820725104737351 2010-03-18 False
1.669994837044208 441 11 1.78795520464067 2010-03-18 False
1.683631655372701 441 12 1.827979213664196 2010-03-18 False
