Time sum_kwh count_users mean_kwh day hour prediction
36935 18508.984 6241 2.9657080596058325 369 17 2.5821902321857486
36937 17471.433 6241 2.7994605031244992 369 18 2.555919295436349
36939 16430.568 6241 2.632681941996475 369 19 2.406051080864692
36941 15382.004 6241 2.464669764460824 369 20 2.259453002401921
36943 14309.278 6241 2.2927860919724403 369 21 2.1241351481184947
36945 12451.793 6241 1.9951599102707904 369 22 1.9138064051240995
36947 11261.642 6241 1.8044611440474283 369 23 1.7437951961569256
37001 8683.403 6240 1.3915709935897436 370 0 1.3764299439551642
37003 6930.268 6240 1.110619871794872 370 1 1.069387029623699
37005 6107.991 6240 0.9788447115384616 370 2 0.9019529223378704
37007 5689.897 6240 0.911842467948718 370 3 0.8359881505204163
37009 5489.567999999999 6240 0.8797384615384615 370 4 0.7882212970376301
37011 5555.858 6240 0.890361858974359 370 5 0.7767439551641312
37013 6395.601000000001 6240 1.024936057692308 370 6 0.8406331465172138
37015 7968.415999999999 6240 1.2769897435897437 370 7 0.974902001601281
37017 9515.67 6240 1.5249471153846157 370 8 1.1580233787029623
37019 11933.043 6240 1.9123466346153848 370 9 1.542671417133707
37021 13402.185 6240 2.147786057692308 370 10 1.898315932746197
37023 14059.066 6240 2.2530554487179484 370 11 2.091521056845476
37025 14613.417 6240 2.34189375 370 12 2.2027184947958367
37027 14254.817 6240 2.284425801282051 370 13 2.2215092073658926
37029 13629.599 6240 2.184230608974359 370 14 2.1743357886309047
37031 14005.946 6240 2.2445426282051284 370 15 2.197495596477182
37033 15941.151 6240 2.5546716346153846 370 16 2.459124579663731
37035 18144.823 6240 2.907824198717949 370 17 2.6606549239391515
37037 16939.319 6240 2.714634455128205 370 18 2.6292337870296234
37039 16008.437 6240 2.565454647435897 370 19 2.469526661329063
37041 15230.808 6240 2.4408346153846154 370 20 2.303226261008807
37043 13949.916 6240 2.2355634615384616 370 21 2.127673658927142
37045 12217.681 6240 1.957961698717949 370 22 1.8892629303442756
37047 11230.478 6240 1.7997560897435896 370 23 1.7192286629303442
37101 8645.994 6240 1.3855759615384615 371 0 1.3590621496075606
37103 6919.13 6240 1.108834935897436 371 1 1.07572240909819
37105 6096.99 6240 0.9770817307692308 371 2 0.9048979657216082
37107 5680.114 6240 0.9102746794871794 371 3 0.8303599231138875
37109 5567.398999999999 6240 0.8922113782051281 371 4 0.7869468204388915
37111 5538.356 6240 0.8875570512820512 371 5 0.79342415505366
37113 6371.771 6240 1.021117147435897 371 6 0.8599822200864969
37115 8226.769 6240 1.318392467948718 371 7 0.9981566554541086
37117 10046.902 6240 1.6100804487179488 371 8 1.179250840941855
37119 12396.199 6240 1.9865703525641027 371 9 1.5387643761012335
37121 13679.253 6240 2.192187980769231 371 10 1.8976194137433928
37123 14262.587 6240 2.2856709935897435 371 11 2.048569117411501
37125 14912.592 6240 2.389838461538462 371 12 2.157636392759891
37127 14651.113 6240 2.347934775641026 371 13 2.178641518500721
37129 14179.843 6240 2.2724107371794875 371 14 2.1458497517219284
37131 14286.24 6240 2.289461538461538 371 15 2.204758289283998
37133 15873.574 6240 2.543841987179487 371 16 2.413787281755566
37135 17901.359 6240 2.868807532051282 371 17 2.6990576645843345
37137 16863.013 6240 2.7024059294871794 371 18 2.6597342623738585
